bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
79.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,20714.0,20439.0,275.0,78.78425779593725,99.27797833935018,20.493720543412934,74.32363636363637
80.0,262.0,262.0,0.0,100.0,0.0,20976.0,20701.0,275.0,79.79416412905215,99.27797833935018,19.483814210298036,75.27636363636364
81.0,262.0,262.0,0.0,100.0,0.0,21238.0,20963.0,275.0,80.80407046216706,99.27797833935018,18.473907877183123,76.22909090909091
82.0,262.0,262.0,0.0,100.0,0.0,21500.0,21225.0,275.0,81.81397679528196,99.27797833935018,17.464001544068225,77.18181818181819
83.0,263.0,263.0,0.0,100.0,0.0,21763.0,21488.0,275.0,82.82773773272173,99.27797833935018,16.450240606628455,78.13818181818182
84.0,262.0,262.0,0.0,100.0,0.0,22025.0,21750.0,275.0,83.83764406583664,99.27797833935018,15.440334273513542,79.0909090909091
85.0,262.0,262.0,0.0,100.0,0.0,22287.0,22012.0,275.0,84.84755039895155,99.27797833935018,14.43042794039863,80.04363636363637
86.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,22549.0,22273.0,276.0,85.85360212774158,99.63898916967509,13.785387041933504,80.69927536231884
87.0,262.0,262.0,0.0,100.0,0.0,22811.0,22535.0,276.0,86.8635084608565,99.63898916967509,12.775480708818591,81.64855072463769
88.0,263.0,263.0,0.0,100.0,0.0,23074.0,22798.0,276.0,87.87726939829626,99.63898916967509,11.761719771378822,82.60144927536231
89.0,262.0,262.0,0.0,100.0,0.0,23336.0,23060.0,276.0,88.88717573141118,99.63898916967509,10.751813438263909,83.55072463768116
90.0,262.0,262.0,0.0,100.0,0.0,23598.0,23322.0,276.0,89.89708206452607,99.63898916967509,9.74190710514901,84.5
91.0,262.0,262.0,0.0,100.0,0.0,23860.0,23584.0,276.0,90.90698839764099,99.63898916967509,8.732000772034098,85.44927536231884
92.0,262.0,262.0,0.0,100.0,0.0,24122.0,23846.0,276.0,91.91689473075589,99.63898916967509,7.7220944389192,86.39855072463769
93.0,263.0,263.0,0.0,100.0,0.0,24385.0,24109.0,276.0,92.93065566819566,99.63898916967509,6.70833350147943,87.35144927536231
94.0,262.0,262.0,0.0,100.0,0.0,24647.0,24371.0,276.0,93.94056200131057,99.63898916967509,5.698427168364518,88.30072463768116
95.0,262.0,262.0,0.0,100.0,0.0,24909.0,24633.0,276.0,94.95046833442547,99.63898916967509,4.688520835249619,89.25
96.0,262.0,262.0,0.0,100.0,0.0,25171.0,24895.0,276.0,95.96037466754038,99.63898916967509,3.6786145021347068,90.19927536231884
97.0,262.0,261.0,1.0,99.61832061068702,0.3816793893129784,25433.0,25156.0,277.0,96.96642639633042,100.0,3.0335736036695806,90.8158844765343
98.0,263.0,263.0,0.0,100.0,0.0,25696.0,25419.0,277.0,97.98018733377019,100.0,2.019812666229811,91.7653429602888
99.0,262.0,262.0,0.0,100.0,0.0,25958.0,25681.0,277.0,98.99009366688509,100.0,1.0099063331149125,92.71119133574007
100.0,262.0,262.0,0.0,100.0,0.0,26220.0,25943.0,277.0,100.0,100.0,0.0,93.65703971119133
